,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,9.3,0.016047301,4,21,1,2,Supermarket Type1,3735.138
1,5.92,0.019278216,1,11,1,0,Supermarket Type2,443.4228
2,17.5,0.016760075,2,21,1,2,Supermarket Type1,2097.27
3,19.2,0.0,3,22,0,0,Grocery Store,732.38
4,8.93,0.0,1,33,2,0,Supermarket Type1,994.7052
5,10.395,0.0,1,11,1,0,Supermarket Type2,556.6088
6,13.65,0.012741089,1,33,2,0,Supermarket Type1,343.5528
7,19.0,0.127469857,2,35,1,0,Supermarket Type3,4022.7636
8,16.2,0.016687114,2,18,0,1,Supermarket Type1,1076.5986
9,19.2,0.09444959,4,13,0,1,Supermarket Type1,4710.535
10,11.8,0.0,1,21,1,2,Supermarket Type1,1516.0266
11,18.5,0.045463773,3,23,0,2,Supermarket Type1,2187.153
12,15.1,0.1000135,3,21,1,2,Supermarket Type1,1589.2646
13,17.6,0.047257328,2,23,0,2,Supermarket Type1,2145.2076
14,16.35,0.0680243,4,33,2,0,Supermarket Type1,1977.426
15,9.0,0.069088961,1,23,0,2,Supermarket Type1,1547.3192
16,11.8,0.008596051,2,11,1,0,Supermarket Type2,1621.8888
17,9.0,0.069196376,1,21,1,2,Supermarket Type1,718.3982
18,8.26,0.034237682,2,35,1,0,Supermarket Type3,2303.668
19,13.35,0.10249212,4,16,0,1,Supermarket Type1,2748.4224
20,18.85,0.138190277,4,33,2,0,Supermarket Type1,3775.086
21,8.315,0.035399923,3,35,1,0,Supermarket Type3,4064.0432
22,14.6,0.025698134,4,16,0,1,Supermarket Type1,1587.2672
23,15.5,0.057556998,2,35,0,2,Grocery Store,214.3876
24,13.85,0.025896485,3,23,0,2,Supermarket Type1,4078.025
25,13.0,0.099887103,1,13,0,1,Supermarket Type1,838.908
26,7.645,0.066693437,1,16,0,1,Supermarket Type1,1065.28
27,11.65,0.019356132,1,33,2,0,Supermarket Type1,308.9312
28,5.925,0.161466534,1,22,0,0,Grocery Store,178.4344
29,14.5,0.072221801,1,35,0,2,Grocery Store,125.8362
30,19.25,0.170348551,1,22,0,0,Grocery Store,163.7868
31,18.6,0.080829372,2,11,1,0,Supermarket Type2,2741.7644
32,18.7,0.0,4,11,1,0,Supermarket Type2,3068.0064
33,17.85,0.0,1,18,0,1,Supermarket Type1,2174.5028
34,17.5,0.097904029,3,23,0,2,Supermarket Type1,2085.2856
35,10.0,0.089291137,3,21,1,2,Supermarket Type1,3791.0652
36,20.2,0.059511812,2,35,1,0,Supermarket Type3,2797.6916
37,8.85,0.113123893,2,11,1,0,Supermarket Type2,1609.9044
38,6.385,0.123111453,1,35,1,0,Supermarket Type3,388.1614
39,15.25,0.026480954,1,35,1,0,Supermarket Type3,2180.495
40,13.35,0.102511504,4,23,0,2,Supermarket Type1,3435.528
41,9.8,0.02681843,2,33,2,0,Supermarket Type1,2150.534
42,13.6,0.117818348,4,21,1,2,Supermarket Type1,2527.3768
43,21.35,0.069102831,4,11,1,0,Supermarket Type2,6768.5228
44,12.15,0.042277867,2,33,2,0,Supermarket Type1,373.5138
45,6.42,0.089498926,3,22,0,0,Grocery Store,358.2004
46,19.6,0.0,3,18,0,1,Supermarket Type1,2428.8384
47,10.0,0.025879577,4,18,0,1,Supermarket Type1,5815.0972
48,15.85,0.121632721,1,23,0,2,Supermarket Type1,2576.646
49,10.195,0.255394896,4,35,0,2,Grocery Store,780.3176
50,7.39,0.067779712,3,23,0,2,Supermarket Type1,3134.5864
51,10.195,0.159803853,2,33,2,0,Supermarket Type1,850.8924
52,9.895,0.028696932,2,33,2,0,Supermarket Type1,810.9444
53,10.895,0.065041581,4,13,0,1,Supermarket Type1,3121.2704
54,12.15,0.028760013,3,13,0,1,Supermarket Type1,4815.0656
55,7.905,0.010053105,4,11,1,0,Supermarket Type2,6258.52
56,9.195,0.048157338,2,18,0,1,Supermarket Type1,2117.244
57,8.365,0.071958197,1,21,1,2,Supermarket Type1,796.9626
58,15.1,0.173481304,4,23,0,2,Supermarket Type1,4910.275
59,5.94,0.061082177,3,35,0,2,Grocery Store,892.172
60,10.0,0.0,4,11,1,0,Supermarket Type2,3185.1872
61,7.97,0.040071131,1,18,0,1,Supermarket Type1,1062.6168
62,6.215,0.012090074,1,35,1,0,Supermarket Type3,484.7024
63,15.5,0.15028599,1,35,0,2,Grocery Store,147.8076
64,17.5,0.026015519,4,35,1,0,Supermarket Type3,2543.356
65,17.7,0.195068226,3,22,0,0,Grocery Store,184.4266
66,19.35,0.033082215,3,16,0,1,Supermarket Type1,4865.6664
67,13.65,0.078946455,4,18,0,1,Supermarket Type1,1118.544
68,17.6,0.041700756,3,18,0,1,Supermarket Type1,2302.3364
69,8.645,0.143422643,2,23,0,2,Supermarket Type1,2027.361
70,15.6,0.105296072,3,23,0,2,Supermarket Type1,3435.528
71,15.85,0.121531501,1,33,2,0,Supermarket Type1,599.22
72,18.25,0.0,3,18,0,1,Supermarket Type1,4604.6728
73,7.855,0.011324862,4,13,0,1,Supermarket Type1,2285.0256
74,7.825,0.186357148,4,21,1,2,Supermarket Type1,5580.7356
75,8.39,0.024205661,2,23,0,2,Supermarket Type1,2290.352
